2026-04-12 22:58:57,661 - INFO - Starting companies info quering
2026-04-12 22:58:57,662 - INFO - Loading input file: data/tickers.csv
2026-04-12 22:58:57,683 - INFO - Total rows in input CSV: 14824
2026-04-13 07:09:03,789 - ERROR - Unexpected error for CIRSA: If using all scalar values, you must pass an index
2026-04-13 07:09:29,024 - ERROR - Unexpected error for CMRE: If using all scalar values, you must pass an index
2026-04-13 07:10:01,901 - ERROR - Unexpected error for CPKR: If using all scalar values, you must pass an index
2026-04-13 07:10:09,685 - ERROR - Unexpected error for CRAV: If using all scalar values, you must pass an index
2026-04-13 07:10:10,841 - ERROR - Unexpected error for CRBP2: If using all scalar values, you must pass an index
2026-04-13 07:10:11,341 - ERROR - Unexpected error for CRCL: If using all scalar values, you must pass an index
2026-04-13 07:10:18,529 - ERROR - Unexpected error for CRTO: If using all scalar values, you must pass an index
2026-04-13 07:10:20,607 - ERROR - Unexpected error for CSAG: If using all scalar values, you must pass an index
2026-04-13 07:10:36,535 - ERROR - Unexpected error for CTRI: If using all scalar values, you must pass an index
2026-04-13 07:11:05,682 - ERROR - Unexpected error for D: If using all scalar values, you must pass an index
2026-04-13 07:11:15,963 - ERROR - Unexpected error for DBIS: If using all scalar values, you must pass an index
2026-04-13 07:11:40,675 - ERROR - Unexpected error for DHO: If using all scalar values, you must pass an index
2026-04-13 07:11:41,878 - ERROR - Unexpected error for DIAMONDBNK: If using all scalar values, you must pass an index
2026-04-13 07:12:03,597 - ERROR - Unexpected error for DNTH: If using all scalar values, you must pass an index
2026-04-13 07:12:08,787 - ERROR - Unexpected error for DOMT: If using all scalar values, you must pass an index
2026-04-13 07:12:11,475 - ERROR - Unexpected error for DPG: If using all scalar values, you must pass an index
2026-04-13 07:12:20,522 - ERROR - Unexpected error for DSCW: If using all scalar values, you must pass an index
2026-04-13 07:12:21,693 - ERROR - Unexpected error for DSGT: If using all scalar values, you must pass an index
2026-04-13 07:12:37,183 - ERROR - Unexpected error for DWY: If using all scalar values, you must pass an index
